-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 difflow3d/full_forward         0.00%       0.000us         0.00%       0.000us       0.000us      68.270ms       125.34%      68.270ms      13.654ms             5  
                  difflow/recurrent/bidirectional_cross         0.00%       0.000us         0.00%       0.000us       0.000us      12.409ms        22.78%      12.409ms     413.620us            30  
                     difflow/diffusion_gru/gated_update         0.00%       0.000us         0.00%       0.000us       0.000us      11.630ms        21.35%      11.630ms     387.672us            30  
                                aten::cudnn_convolution         4.99%       5.738ms         7.22%       8.297ms       8.095us      10.831ms        19.89%      10.831ms      10.567us          1025  
                                             aten::topk         2.31%       2.660ms         6.54%       7.513ms      28.350us       9.160ms        16.82%       9.289ms      35.051us           265  
                              difflow/recurrent/warping         0.00%       0.000us         0.00%       0.000us       0.000us       8.706ms        15.98%       8.706ms     290.184us            30  
                                difflow/coarse_l3/cross         0.00%       0.000us         0.00%       0.000us       0.000us       7.306ms        13.41%       7.306ms       1.461ms             5  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.760ms        12.41%       6.760ms       3.567us          1895  
                             difflow/encoder/level2_512         0.00%       0.000us         0.00%       0.000us       0.000us       6.671ms        12.25%       6.671ms     667.103us            10  
                                  FurthestPointSampling         0.29%     334.739us         0.57%     658.103us      21.937us       6.506ms        11.95%       6.527ms     217.578us            30  
                  difflow/recurrent/prepare_spatial_knn         0.00%       0.000us         0.00%       0.000us       0.000us       6.468ms        11.87%       6.468ms     215.600us            30  
                       difflow/recurrent/flow_embedding         0.00%       0.000us         0.00%       0.000us       0.000us       5.959ms        10.94%       5.959ms     198.639us            30  
                   difflow/recurrent/prepare_cosine_knn         0.00%       0.000us         0.00%       0.000us       0.000us       5.753ms        10.56%       5.753ms     383.512us            15  
                                            aten::copy_         2.15%       2.471ms         4.93%       5.667ms       4.077us       5.196ms         9.54%       5.196ms       3.738us          1390  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us       5.085ms         9.34%       5.085ms       8.405us           605  
void furthest_point_sampling_kernel<1024u>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us       4.877ms         8.95%       4.877ms     487.691us            10  
                                 difflow/encoder/level0         0.00%       0.000us         0.00%       0.000us       0.000us       4.779ms         8.77%       4.779ms     477.905us            10  
                                             aten::add_         2.06%       2.370ms         4.53%       5.212ms       3.790us       4.653ms         8.54%       4.653ms       3.384us          1375  
                            difflow/encoder/level1_2048         0.00%       0.000us         0.00%       0.000us       0.000us       4.645ms         8.53%       4.645ms     464.510us            10  
