-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 difflow3d/full_forward         0.00%       0.000us         0.00%       0.000us       0.000us      68.270ms       125.34%      68.270ms      13.654ms             5  
                                          ProfilerStep*         0.09%     104.656us        99.99%     114.919ms      22.984ms       0.000us         0.00%      54.597ms      10.919ms             5  
                                 difflow3d/full_forward         2.67%       3.069ms        99.90%     114.814ms      22.963ms       0.000us         0.00%      54.597ms      10.919ms             5  
                                      aten::convolution         0.36%     413.298us        17.09%      19.636ms      19.157us       0.000us         0.00%      16.258ms      15.861us          1025  
                                     aten::_convolution         2.44%       2.802ms        16.73%      19.222ms      18.753us       0.000us         0.00%      16.258ms      15.861us          1025  
                          difflow/recurrent/iteration_0         0.58%     668.801us        23.91%      27.480ms       1.832ms       0.000us         0.00%      14.042ms     936.106us            15  
                              difflow/recurrent_l1_2048         0.20%     234.223us        20.28%      23.308ms       4.662ms       0.000us         0.00%      13.573ms       2.715ms             5  
                          difflow/recurrent/iteration_1         0.62%     711.462us        23.29%      26.762ms       1.784ms       0.000us         0.00%      13.406ms     893.738us            15  
                  difflow/recurrent/bidirectional_cross         0.00%       0.000us         0.00%       0.000us       0.000us      12.409ms        22.78%      12.409ms     413.620us            30  
                                           aten::conv2d         0.18%     209.702us         9.48%      10.895ms      18.158us       0.000us         0.00%      12.107ms      20.178us           600  
                     difflow/diffusion_gru/gated_update         0.00%       0.000us         0.00%       0.000us       0.000us      11.630ms        21.35%      11.630ms     387.672us            30  
                                aten::cudnn_convolution         4.99%       5.738ms         7.22%       8.297ms       8.095us      10.831ms        19.89%      10.831ms      10.567us          1025  
                              difflow/recurrent_l0_full         0.20%     229.230us        18.62%      21.405ms       4.281ms       0.000us         0.00%      10.543ms       2.109ms             5  
                                             aten::topk         2.31%       2.660ms         6.54%       7.513ms      28.350us       9.160ms        16.82%       9.289ms      35.051us           265  
                  difflow/recurrent/bidirectional_cross         2.71%       3.116ms        10.44%      12.001ms     400.034us       0.000us         0.00%       8.750ms     291.660us            30  
                              difflow/recurrent/warping         0.00%       0.000us         0.00%       0.000us       0.000us       8.706ms        15.98%       8.706ms     290.184us            30  
                                 difflow/encoder_source         0.17%     194.915us        10.83%      12.446ms       2.489ms       0.000us         0.00%       7.752ms       1.550ms             5  
                                 difflow/encoder_target         0.18%     204.849us        10.30%      11.837ms       2.367ms       0.000us         0.00%       7.619ms       1.524ms             5  
                                difflow/coarse_l3/cross         0.00%       0.000us         0.00%       0.000us       0.000us       7.306ms        13.41%       7.306ms       1.461ms             5  
