-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 difflow3d/full_forward         0.00%       0.000us         0.00%       0.000us       0.000us      70.180ms       146.64%      70.180ms      14.036ms             5  
                     difflow/diffusion_gru/gated_update         0.00%       0.000us         0.00%       0.000us       0.000us      13.939ms        29.12%      13.939ms     464.623us            30  
                  difflow/recurrent/bidirectional_cross         0.00%       0.000us         0.00%       0.000us       0.000us      12.086ms        25.25%      12.086ms     402.869us            30  
                                             aten::topk         2.41%       2.821ms         6.37%       7.451ms      28.116us       9.118ms        19.05%       9.118ms      34.409us           265  
                              difflow/recurrent/warping         0.00%       0.000us         0.00%       0.000us       0.000us       8.492ms        17.74%       8.492ms     283.067us            30  
                                difflow/coarse_l3/cross         0.00%       0.000us         0.00%       0.000us       0.000us       7.189ms        15.02%       7.189ms       1.438ms             5  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.803ms        14.21%       6.803ms       3.590us          1895  
                  difflow/recurrent/prepare_spatial_knn         0.00%       0.000us         0.00%       0.000us       0.000us       6.696ms        13.99%       6.696ms     223.196us            30  
                                  FurthestPointSampling         0.29%     333.795us         0.56%     659.025us      21.968us       6.505ms        13.59%       6.526ms     217.530us            30  
                             difflow/encoder/level2_512         0.00%       0.000us         0.00%       0.000us       0.000us       6.434ms        13.44%       6.434ms     643.432us            10  
                       difflow/recurrent/flow_embedding         0.00%       0.000us         0.00%       0.000us       0.000us       5.607ms        11.72%       5.607ms     186.892us            30  
                                aten::cudnn_convolution         6.63%       7.761ms         9.99%      11.692ms      11.407us       5.377ms        11.23%       5.379ms       5.248us          1025  
                                            aten::copy_         2.17%       2.538ms         4.89%       5.717ms       4.113us       5.194ms        10.85%       5.194ms       3.737us          1390  
                            difflow/encoder/level1_2048         0.00%       0.000us         0.00%       0.000us       0.000us       4.952ms        10.35%       4.952ms     495.156us            10  
void furthest_point_sampling_kernel<1024u>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us       4.877ms        10.19%       4.877ms     487.672us            10  
                                             aten::add_         2.13%       2.491ms         4.56%       5.335ms       3.880us       4.689ms         9.80%       4.689ms       3.410us          1375  
                                 difflow/encoder/level0         0.00%       0.000us         0.00%       0.000us       0.000us       4.652ms         9.72%       4.652ms     465.230us            10  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.451ms         9.30%       4.451ms       5.362us           830  
                   difflow/recurrent/prepare_cosine_knn         0.00%       0.000us         0.00%       0.000us       0.000us       3.956ms         8.27%       3.956ms     263.764us            15  
