-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 difflow3d/full_forward         0.00%       0.000us         0.00%       0.000us       0.000us      70.180ms       146.64%      70.180ms      14.036ms             5  
                                          ProfilerStep*         0.09%     107.859us        99.99%     117.010ms      23.402ms       0.000us         0.00%      47.862ms       9.572ms             5  
                                 difflow3d/full_forward         2.62%       3.069ms        99.90%     116.902ms      23.380ms       0.000us         0.00%      47.862ms       9.572ms             5  
                     difflow/diffusion_gru/gated_update         0.00%       0.000us         0.00%       0.000us       0.000us      13.939ms        29.12%      13.939ms     464.623us            30  
                  difflow/recurrent/bidirectional_cross         0.00%       0.000us         0.00%       0.000us       0.000us      12.086ms        25.25%      12.086ms     402.869us            30  
                          difflow/recurrent/iteration_0         0.59%     693.788us        25.78%      30.168ms       2.011ms       0.000us         0.00%      11.877ms     791.821us            15  
                              difflow/recurrent_l1_2048         0.20%     229.880us        18.77%      21.965ms       4.393ms       0.000us         0.00%      11.726ms       2.345ms             5  
                          difflow/recurrent/iteration_1         0.62%     730.894us        23.77%      27.810ms       1.854ms       0.000us         0.00%      11.521ms     768.069us            15  
                                      aten::convolution         0.36%     423.220us        19.85%      23.226ms      22.660us       0.000us         0.00%      10.853ms      10.589us          1025  
                                     aten::_convolution         2.44%       2.853ms        19.49%      22.803ms      22.247us       0.000us         0.00%      10.853ms      10.589us          1025  
                              difflow/recurrent_l0_full         0.20%     228.427us        18.78%      21.970ms       4.394ms       0.000us         0.00%       9.619ms       1.924ms             5  
                                             aten::topk         2.41%       2.821ms         6.37%       7.451ms      28.116us       9.118ms        19.05%       9.118ms      34.409us           265  
                                           aten::conv2d         0.19%     220.496us        11.58%      13.550ms      22.583us       0.000us         0.00%       8.684ms      14.473us           600  
                              difflow/recurrent/warping         0.00%       0.000us         0.00%       0.000us       0.000us       8.492ms        17.74%       8.492ms     283.067us            30  
                                difflow/coarse_l3/cross         0.00%       0.000us         0.00%       0.000us       0.000us       7.189ms        15.02%       7.189ms       1.438ms             5  
                                 difflow/encoder_source         0.17%     194.944us        10.59%      12.390ms       2.478ms       0.000us         0.00%       7.171ms       1.434ms             5  
                                 difflow/encoder_target         0.17%     201.221us        10.11%      11.832ms       2.366ms       0.000us         0.00%       7.082ms       1.416ms             5  
                  difflow/recurrent/bidirectional_cross         2.72%       3.182ms        10.84%      12.684ms     422.793us       0.000us         0.00%       6.999ms     233.290us            30  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.803ms        14.21%       6.803ms       3.590us          1895  
