-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 difflow3d/full_forward         0.00%       0.000us         0.00%       0.000us       0.000us      72.179ms       142.83%      72.179ms      14.436ms             5  
                  difflow/recurrent/bidirectional_cross         0.00%       0.000us         0.00%       0.000us       0.000us      12.854ms        25.44%      12.854ms     428.460us            30  
                     difflow/diffusion_gru/gated_update         0.00%       0.000us         0.00%       0.000us       0.000us      12.338ms        24.41%      12.338ms     411.254us            30  
                                             aten::topk         2.33%       2.823ms         6.12%       7.403ms      27.935us       9.126ms        18.06%       9.126ms      34.436us           265  
                              difflow/recurrent/warping         0.00%       0.000us         0.00%       0.000us       0.000us       7.906ms        15.65%       7.906ms     263.545us            30  
                                difflow/coarse_l3/cross         0.00%       0.000us         0.00%       0.000us       0.000us       7.469ms        14.78%       7.469ms       1.494ms             5  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.782ms        13.42%       6.782ms       3.579us          1895  
                                aten::cudnn_convolution         6.30%       7.623ms         8.53%      10.324ms      10.072us       6.767ms        13.39%       6.767ms       6.602us          1025  
                             difflow/encoder/level2_512         0.00%       0.000us         0.00%       0.000us       0.000us       6.605ms        13.07%       6.605ms     660.490us            10  
                       difflow/recurrent/flow_embedding         0.00%       0.000us         0.00%       0.000us       0.000us       6.578ms        13.02%       6.578ms     219.273us            30  
                                  FurthestPointSampling         0.28%     339.693us         0.54%     654.353us      21.812us       6.504ms        12.87%       6.525ms     217.494us            30  
                  difflow/recurrent/prepare_spatial_knn         0.00%       0.000us         0.00%       0.000us       0.000us       6.184ms        12.24%       6.184ms     206.126us            30  
                   difflow/recurrent/prepare_cosine_knn         0.00%       0.000us         0.00%       0.000us       0.000us       5.970ms        11.81%       5.970ms     398.002us            15  
                                            aten::copy_         2.11%       2.557ms         4.74%       5.736ms       4.126us       5.197ms        10.28%       5.197ms       3.739us          1390  
                                 difflow/encoder/level0         0.00%       0.000us         0.00%       0.000us       0.000us       4.894ms         9.68%       4.894ms     489.390us            10  
                            difflow/encoder/level1_2048         0.00%       0.000us         0.00%       0.000us       0.000us       4.884ms         9.67%       4.884ms     488.436us            10  
void furthest_point_sampling_kernel<1024u>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us       4.877ms         9.65%       4.877ms     487.674us            10  
                                             aten::add_         2.07%       2.501ms         4.47%       5.410ms       3.935us       4.664ms         9.23%       4.664ms       3.392us          1375  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.456ms         8.82%       4.456ms       5.369us           830  
