-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 difflow3d/full_forward         0.00%       0.000us         0.00%       0.000us       0.000us      72.179ms       142.83%      72.179ms      14.436ms             5  
                                          ProfilerStep*         0.08%     101.143us        99.99%     121.023ms      24.205ms       0.000us         0.00%      50.536ms      10.107ms             5  
                                 difflow3d/full_forward         2.52%       3.048ms        99.91%     120.922ms      24.184ms       0.000us         0.00%      50.536ms      10.107ms             5  
                  difflow/recurrent/bidirectional_cross         0.00%       0.000us         0.00%       0.000us       0.000us      12.854ms        25.44%      12.854ms     428.460us            30  
                     difflow/diffusion_gru/gated_update         0.00%       0.000us         0.00%       0.000us       0.000us      12.338ms        24.41%      12.338ms     411.254us            30  
                          difflow/recurrent/iteration_0         0.63%     765.942us        24.14%      29.217ms       1.948ms       0.000us         0.00%      12.327ms     821.792us            15  
                                      aten::convolution         0.42%     510.443us        17.96%      21.734ms      21.204us       0.000us         0.00%      12.222ms      11.924us          1025  
                                     aten::_convolution         2.33%       2.818ms        17.54%      21.224ms      20.706us       0.000us         0.00%      12.222ms      11.924us          1025  
                          difflow/recurrent/iteration_1         0.61%     741.711us        23.13%      27.998ms       1.867ms       0.000us         0.00%      11.943ms     796.197us            15  
                              difflow/recurrent_l1_2048         0.19%     234.118us        18.98%      22.969ms       4.594ms       0.000us         0.00%      11.792ms       2.358ms             5  
                              difflow/recurrent_l0_full         0.22%     271.006us        19.15%      23.172ms       4.634ms       0.000us         0.00%       9.926ms       1.985ms             5  
                                           aten::conv2d         0.27%     322.331us         9.96%      12.055ms      20.092us       0.000us         0.00%       9.311ms      15.518us           600  
                                             aten::topk         2.33%       2.823ms         6.12%       7.403ms      27.935us       9.126ms        18.06%       9.126ms      34.436us           265  
                              difflow/recurrent/warping         0.00%       0.000us         0.00%       0.000us       0.000us       7.906ms        15.65%       7.906ms     263.545us            30  
                                 difflow/encoder_source         0.16%     194.339us        10.30%      12.468ms       2.494ms       0.000us         0.00%       7.712ms       1.542ms             5  
                  difflow/recurrent/bidirectional_cross         2.92%       3.539ms        11.12%      13.453ms     448.418us       0.000us         0.00%       7.588ms     252.935us            30  
                                 difflow/encoder_target         0.17%     200.865us         9.95%      12.044ms       2.409ms       0.000us         0.00%       7.516ms       1.503ms             5  
                                difflow/coarse_l3/cross         0.00%       0.000us         0.00%       0.000us       0.000us       7.469ms        14.78%       7.469ms       1.494ms             5  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.782ms        13.42%       6.782ms       3.579us          1895  
